Theme id,Theme acronym,Theme name,Crop acronym,Crop name
4,res05,Suitability and Attainable Yield,tea,Tea
4,res05,Suitability and Attainable Yield,tob,Tobacco
4,res05,Suitability and Attainable Yield,tom,Tomato
4,res05,Suitability and Attainable Yield,whe,Wheat
4,res05,Suitability and Attainable Yield,wpo,White potato
4,res05,Suitability and Attainable Yield,yam,Yam
5,res06,Actual Yields and Production,oil,Oil seeds
5,res06,Actual Yields and Production,cer,Cereals
5,res06,Actual Yields and Production,rts,Root crops
5,res06,Actual Yields and Production,all,Main crops
5,res06,Actual Yields and Production,sfl,Sunflower
5,res06,Actual Yields and Production,oce,Other cereals
5,res06,Actual Yields and Production,mze,Maize
5,res06,Actual Yields and Production,sub,Sugar beet
5,res06,Actual Yields and Production,veg,Vegetables
5,res06,Actual Yields and Production,soy,Soybean
5,res06,Actual Yields and Production,rt1,Potato and sweet potato
5,res06,Actual Yields and Production,cc2,Stimulants
5,res06,Actual Yields and Production,rt2,Cassava
5,res06,Actual Yields and Production,brl,Barley
5,res06,Actual Yields and Production,ban,Banana
5,res06,Actual Yields and Production,rcw,Wetland rice
5,res06,Actual Yields and Production,rt3,Yams and other roots
5,res06,Actual Yields and Production,srg,Sorghum
5,res06,Actual Yields and Production,pls,Pulses
5,res06,Actual Yields and Production,olp,Oil palm
5,res06,Actual Yields and Production,grd,Groundnut
5,res06,Actual Yields and Production,rsd,Rapeseed
5,res06,Actual Yields and Production,nes,Rest of crops
5,res06,Actual Yields and Production,frt,Fruits and nuts
5,res06,Actual Yields and Production,mlt,Millet
5,res06,Actual Yields and Production,suc,Sugar cane
5,res06,Actual Yields and Production,fdd,Fodder crops
5,res06,Actual Yields and Production,whe,Wheat
5,res06,Actual Yields and Production,olv,Olive
5,res06,Actual Yields and Production,cot,Cotton
5,res06,Actual Yields and Production,tob,Tobacco
6,res07,Yield and Production Gaps,grt,Root crops
6,res07,Yield and Production Gaps,goi,Oil crops
6,res07,Yield and Production Gaps,gap,All crops
6,res07,Yield and Production Gaps,gce,Cereals
6,res07,Yield and Production Gaps,rcw,Wetland rice
6,res07,Yield and Production Gaps,whe,Wheat
6,res07,Yield and Production Gaps,mze,Maize
6,res07,Yield and Production Gaps,cot,Cotton
6,res07,Yield and Production Gaps,grd,Groundnut
6,res07,Yield and Production Gaps,ban,Banana
6,res07,Yield and Production Gaps,mlt,Millet
6,res07,Yield and Production Gaps,pls,Pulses
6,res07,Yield and Production Gaps,rt2,Cassava
6,res07,Yield and Production Gaps,rt1,Potato and sweet potato
6,res07,Yield and Production Gaps,olv,Olive
6,res07,Yield and Production Gaps,suc,Sugar cane
6,res07,Yield and Production Gaps,rsd,Rapeseed
6,res07,Yield and Production Gaps,olp,Oil palm
6,res07,Yield and Production Gaps,rt3,Yams and other roots
6,res07,Yield and Production Gaps,srg,Sorghum
6,res07,Yield and Production Gaps,sfl,Sunflower
6,res07,Yield and Production Gaps,brl,Barley
6,res07,Yield and Production Gaps,tob,Tobacco
6,res07,Yield and Production Gaps,oce,Other cereals
6,res07,Yield and Production Gaps,sub,Sugar beet
6,res07,Yield and Production Gaps,soy,Soybean
